condition,count,action_seq_em,action_step_match,action_parsed,nl_plan_match,nl_action_recall,nl_object_recall,nl_order_ok,nl_char_f1,nl_present,strict_seq_em,strict_structure_valid,action_vocab_violation_rate,object_vocab_violation_rate,example_echo_rate,contract_echo_rate
A,228.0,0.008771929824561403,0.025584795321637425,0.9912280701754386,0.2149122807017544,0.5211988304093568,0.8830409356725146,0.2412280701754386,0.39199988001267405,1.0,0.008771929824561403,0.9912280701754386,0.0,0.015350877192982455,0.0043859649122807015,0.0
A_prime,228.0,0.0,0.005116959064327485,0.9868421052631579,0.2631578947368421,0.5493421052631579,0.9042397660818713,0.27631578947368424,0.40337488659027304,1.0,0.0,0.9868421052631579,0.0,0.03070175438596491,0.0,0.0
B_json,228.0,0.021929824561403508,0.1886330409356725,1.0,0.6096491228070176,0.8512426900584795,0.8720760233918129,0.6666666666666666,0.34080073227310564,1.0,0.021929824561403508,0.9956140350877193,0.0,0.22755847953216374,0.0043859649122807015,0.0
B_natural,228.0,0.017543859649122806,0.1953328834907782,1.0,0.5482456140350878,0.8081140350877193,0.9042397660818714,0.5964912280701754,0.3336071383124682,1.0,0.017543859649122806,0.9824561403508771,0.0,0.23105600539811066,0.0,0.0
B_triples,228.0,0.008771929824561403,0.18483187134502924,1.0,0.4342105263157895,0.7598684210526315,0.8026315789473684,0.5131578947368421,0.311607421764595,1.0,0.008771929824561403,0.9956140350877193,0.0,0.23844115497076024,0.0,0.0
C,228.0,0.017543859649122806,0.1456140350877193,0.9824561403508771,0.45614035087719296,0.7255116959064327,0.9364035087719298,0.47368421052631576,0.38757390622435833,0.9956140350877193,0.017543859649122806,0.9824561403508771,0.0,0.22939261031366295,0.0,0.0
D,228.0,0.8377192982456141,0.9023391812865497,1.0,0.8859649122807017,0.9718567251461988,0.9846491228070176,0.9035087719298246,0.6079432251602729,1.0,0.8377192982456141,1.0,0.0,0.0030701754385964912,0.0,0.0
