model,samples,relaxed_action_sequence_em,relaxed_step_position_recall,relaxed_step_position_precision,relaxed_step_position_f1,relaxed_parse_rate,deterministic_plan_rate,position_matches,gold_steps,predicted_steps
before,200,0.0,0.024229074889867842,0.0582010582010582,0.034214618973561435,0.73,0.095,11,454,189
after,200,0.925,0.9713656387665198,0.962882096069869,0.9671052631578948,1.0,1.0,441,454,458
