2026/08/15 10:32:51.307, 14, 1, 12315, 23.36, 29
2026/08/15 10:32:52.334, 27, 5, 12323, 23.07, 29
2026/08/15 10:32:53.335, 9, 1, 12299, 23.12, 29
2026/08/15 10:32:54.340, 25, 6, 12303, 23.39, 29
2026/08/15 10:32:55.345, 27, 4, 12319, 23.79, 29
2026/08/15 10:32:56.351, 29, 3, 12299, 23.78, 29
2026/08/15 10:32:57.355, 8, 2, 12311, 23.30, 29
2026/08/15 10:32:58.356, 25, 5, 12319, 23.55, 29
2026/08/15 10:32:59.356, 7, 1, 12303, 23.53, 29
2026/08/15 10:33:00.362, 0, 0, 12311, 23.07, 29
2026/08/15 10:33:01.366, 17, 2, 12291, 22.97, 29
2026/08/15 10:33:02.366, 43, 7, 12323, 22.96, 29
2026/08/15 10:33:03.368, 19, 2, 12303, 23.27, 29
2026/08/15 10:33:04.373, 36, 5, 12311, 23.31, 29
2026/08/15 10:33:05.373, 31, 4, 12323, 23.60, 29
2026/08/15 10:33:06.373, 16, 2, 12303, 22.92, 29
2026/08/15 10:33:07.378, 54, 10, 12295, 23.37, 29
2026/08/15 10:33:08.378, 13, 2, 12315, 22.75, 29
2026/08/15 10:33:09.379, 9, 2, 12291, 23.10, 29
2026/08/15 10:33:10.379, 18, 3, 12315, 23.79, 29
2026/08/15 10:33:11.382, 16, 3, 12323, 22.89, 29
2026/08/15 10:33:12.382, 13, 1, 12279, 23.39, 29
2026/08/15 10:33:13.383, 0, 0, 12307, 22.29, 29
2026/08/15 10:33:14.383, 6, 2, 12335, 23.02, 29
2026/08/15 10:33:15.383, 1, 1, 12291, 22.58, 29
2026/08/15 10:33:16.386, 4, 1, 12311, 22.11, 29
2026/08/15 10:33:17.386, 47, 10, 12331, 22.55, 29
2026/08/15 10:33:18.387, 0, 0, 12239, 23.75, 29
2026/08/15 10:33:19.387, 0, 0, 12323, 22.38, 29
2026/08/15 10:33:20.388, 23, 5, 12335, 22.74, 29
2026/08/15 10:33:21.388, 39, 7, 12283, 23.43, 29
2026/08/15 10:33:22.388, 4, 0, 12315, 23.40, 29
2026/08/15 10:33:23.389, 27, 4, 12267, 24.15, 29
2026/08/15 10:33:24.389, 14, 2, 12283, 23.15, 29
2026/08/15 10:33:25.389, 0, 0, 12339, 23.42, 29
2026/08/15 10:33:26.391, 18, 2, 12279, 23.20, 29
2026/08/15 10:33:27.391, 12, 2, 12323, 23.20, 29
2026/08/15 10:33:28.391, 17, 3, 12307, 23.17, 29
2026/08/15 10:33:29.392, 23, 3, 12307, 23.88, 29
2026/08/15 10:33:30.392, 35, 7, 12283, 23.80, 29
2026/08/15 10:33:31.393, 6, 1, 12303, 23.59, 29
2026/08/15 10:33:32.394, 36, 6, 12287, 23.27, 29
2026/08/15 10:33:33.394, 25, 4, 12315, 23.43, 29
2026/08/15 10:33:34.395, 18, 2, 12335, 23.07, 29
2026/08/15 10:33:35.395, 0, 0, 12251, 23.52, 29
2026/08/15 10:33:36.396, 8, 1, 12347, 23.00, 29
2026/08/15 10:33:37.396, 7, 1, 12359, 23.51, 29
2026/08/15 10:33:38.397, 63, 12, 12339, 23.94, 29
2026/08/15 10:33:39.398, 58, 11, 12319, 23.88, 29
2026/08/15 10:33:40.402, 0, 0, 12255, 23.18, 29
2026/08/15 10:33:41.403, 20, 2, 12327, 22.97, 29
2026/08/15 10:33:42.403, 20, 3, 12299, 23.50, 29
2026/08/15 10:33:43.403, 13, 1, 12267, 22.98, 29
2026/08/15 10:33:44.404, 9, 1, 12315, 22.60, 29
2026/08/15 10:33:45.404, 9, 2, 12339, 24.79, 29
2026/08/15 10:33:46.405, 1, 1, 12363, 23.70, 29
2026/08/15 10:33:47.405, 12, 3, 12339, 24.32, 29
2026/08/15 10:33:48.407, 37, 7, 12299, 23.75, 29
2026/08/15 10:33:49.407, 57, 13, 12339, 24.28, 29
2026/08/15 10:33:50.408, 5, 1, 12295, 23.72, 29
2026/08/15 10:33:51.408, 5, 0, 12303, 23.79, 29
2026/08/15 10:33:52.410, 33, 4, 12295, 23.66, 29
2026/08/15 10:33:53.410, 1, 0, 12335, 23.49, 29
2026/08/15 10:33:54.411, 0, 0, 12275, 24.37, 29
2026/08/15 10:33:55.411, 8, 1, 12303, 23.22, 29
2026/08/15 10:33:56.411, 0, 0, 12291, 22.84, 29
2026/08/15 10:33:57.412, 7, 0, 12347, 23.42, 29
2026/08/15 10:33:58.412, 0, 0, 12363, 23.31, 29
2026/08/15 10:33:59.413, 20, 4, 12311, 23.58, 29
2026/08/15 10:34:00.413, 14, 2, 12303, 23.49, 29
2026/08/15 10:34:01.421, 7, 1, 12303, 23.09, 29
2026/08/15 10:34:02.421, 49, 10, 12295, 23.60, 29
2026/08/15 10:34:03.422, 5, 1, 12315, 23.79, 29
2026/08/15 10:34:04.422, 36, 5, 12299, 24.08, 29
2026/08/15 10:34:05.423, 25, 6, 12359, 24.10, 29
2026/08/15 10:34:06.423, 14, 3, 12299, 23.64, 29
2026/08/15 10:34:07.423, 26, 5, 12335, 24.10, 29
2026/08/15 10:34:08.424, 43, 6, 12311, 23.06, 29
2026/08/15 10:34:09.424, 20, 4, 12327, 23.81, 29
2026/08/15 10:34:10.425, 1, 2, 12291, 23.45, 29
2026/08/15 10:34:11.425, 10, 1, 12319, 23.71, 29
2026/08/15 10:34:12.425, 14, 2, 12403, 24.00, 29
2026/08/15 10:34:13.425, 2, 1, 12299, 22.82, 29
2026/08/15 10:34:14.426, 19, 3, 12343, 22.89, 29
2026/08/15 10:34:15.426, 44, 8, 12343, 24.08, 29
2026/08/15 10:34:16.427, 50, 10, 12295, 23.92, 29
2026/08/15 10:34:17.428, 11, 2, 12267, 23.09, 29
2026/08/15 10:34:18.428, 16, 2, 12311, 22.38, 29
2026/08/15 10:34:19.428, 39, 8, 12355, 23.61, 29
