2026/08/15 15:51:32.029, 0, 0, 1, 20.72, 26
2026/08/15 15:51:34.042, 0, 0, 1, 20.42, 26
2026/08/15 15:51:36.043, 0, 0, 1, 20.69, 26
2026/08/15 15:51:38.044, 4, 0, 259, 72.86, 28
2026/08/15 15:51:40.061, 4, 0, 1837, 74.29, 28
2026/08/15 15:51:42.063, 0, 0, 4123, 73.21, 28
2026/08/15 15:51:44.068, 0, 0, 6197, 72.75, 28
2026/08/15 15:51:46.081, 0, 0, 8201, 23.46, 27
2026/08/15 15:51:48.085, 0, 0, 10537, 21.20, 27
2026/08/15 15:51:50.101, 0, 0, 11549, 78.02, 28
2026/08/15 15:51:52.105, 1, 0, 12045, 67.69, 28
2026/08/15 15:51:54.117, 4, 0, 12188, 64.25, 28
2026/08/15 15:51:56.118, 30, 8, 12214, 25.92, 27
2026/08/15 15:51:58.118, 11, 3, 12159, 24.14, 27
2026/08/15 15:52:00.119, 3, 1, 12187, 22.84, 27
2026/08/15 15:52:02.120, 14, 1, 12203, 22.96, 27
2026/08/15 15:52:04.120, 19, 3, 12227, 22.96, 27
2026/08/15 15:52:06.121, 14, 2, 12187, 22.82, 27
2026/08/15 15:52:08.122, 15, 1, 12203, 22.50, 27
2026/08/15 15:52:10.122, 6, 0, 12175, 22.58, 27
2026/08/15 15:52:12.127, 33, 8, 12191, 23.66, 27
2026/08/15 15:52:14.128, 24, 4, 12235, 23.12, 27
2026/08/15 15:52:16.129, 2, 0, 12237, 22.95, 27
2026/08/15 15:52:18.129, 16, 2, 12243, 23.08, 27
2026/08/15 15:52:20.130, 14, 3, 12271, 22.49, 27
2026/08/15 15:52:22.130, 31, 6, 12255, 23.05, 27
2026/08/15 15:52:24.131, 0, 0, 12195, 22.65, 27
2026/08/15 15:52:26.132, 21, 4, 12295, 23.17, 27
2026/08/15 15:52:28.134, 3, 1, 12211, 21.73, 27
2026/08/15 15:52:30.135, 24, 5, 12259, 23.10, 27
2026/08/15 15:52:32.135, 27, 4, 12211, 23.90, 27
2026/08/15 15:52:34.137, 11, 2, 12235, 22.34, 27
2026/08/15 15:52:36.138, 12, 2, 12287, 24.00, 27
2026/08/15 15:52:38.138, 21, 4, 12227, 22.42, 27
2026/08/15 15:52:40.139, 22, 2, 12247, 22.72, 27
2026/08/15 15:52:42.139, 15, 1, 12211, 22.40, 27
2026/08/15 15:52:44.140, 16, 3, 12231, 21.93, 27
2026/08/15 15:52:46.140, 17, 3, 12219, 22.72, 27
2026/08/15 15:52:48.141, 5, 1, 12179, 22.93, 27
2026/08/15 15:52:50.144, 2, 0, 12261, 22.75, 27
2026/08/15 15:52:52.144, 14, 2, 12249, 23.03, 27
2026/08/15 15:52:54.144, 24, 5, 12293, 23.51, 27
2026/08/15 15:52:56.145, 0, 0, 12229, 23.35, 27
2026/08/15 15:52:58.145, 49, 10, 12269, 23.68, 27
2026/08/15 15:53:00.146, 10, 2, 12237, 23.46, 27
2026/08/15 15:53:02.146, 0, 0, 12233, 22.49, 27
2026/08/15 15:53:04.147, 22, 2, 12297, 22.83, 27
2026/08/15 15:53:06.150, 4, 1, 12225, 22.45, 27
2026/08/15 15:53:08.151, 6, 1, 12305, 22.18, 27
2026/08/15 15:53:10.151, 21, 4, 12253, 22.73, 27
2026/08/15 15:53:12.152, 18, 3, 12289, 22.40, 27
2026/08/15 15:53:14.153, 42, 8, 12293, 22.80, 27
2026/08/15 15:53:16.153, 13, 3, 12197, 22.54, 27
2026/08/15 15:53:18.154, 9, 2, 12289, 22.50, 27
2026/08/15 15:53:20.154, 5, 0, 12221, 21.85, 27
2026/08/15 15:53:22.155, 0, 0, 12233, 21.89, 27
2026/08/15 15:53:24.155, 16, 3, 12209, 22.99, 27
2026/08/15 15:53:26.156, 10, 2, 12237, 22.34, 27
2026/08/15 15:53:28.156, 9, 1, 12269, 22.31, 27
2026/08/15 15:53:30.157, 23, 4, 12225, 22.22, 27
2026/08/15 15:53:32.157, 5, 1, 12249, 22.27, 27
2026/08/15 15:53:34.158, 37, 4, 12265, 22.22, 27
2026/08/15 15:53:36.159, 23, 3, 12253, 21.25, 27
2026/08/15 15:53:38.160, 22, 2, 12235, 21.86, 27
2026/08/15 15:53:40.161, 6, 1, 12227, 21.98, 27
2026/08/15 15:53:42.162, 0, 0, 12283, 22.28, 27
2026/08/15 15:53:44.162, 7, 2, 12259, 21.99, 27
2026/08/15 15:53:46.162, 32, 5, 12267, 22.11, 27
2026/08/15 15:53:48.164, 8, 1, 12219, 22.11, 27
2026/08/15 15:53:50.165, 50, 13, 12303, 22.80, 27
2026/08/15 15:53:52.165, 17, 2, 12215, 22.49, 27
2026/08/15 15:53:54.166, 27, 4, 12233, 23.32, 27
2026/08/15 15:53:56.166, 5, 2, 12253, 22.26, 27
2026/08/15 15:53:58.167, 11, 2, 12233, 22.85, 27
2026/08/15 15:54:00.169, 21, 4, 12213, 22.94, 27
