timestamp_ns,cpu_usage_usec,memory_current_bytes,memory_peak_bytes,pids_current,load1,load5,load15,disk_avail_bytes
1786809225565124515,49029127862,38036459520,44949463040,470,14.37,5.69,2.10,181819240448
1786809227618171158,49051281862,38065893376,44949463040,470,14.26,5.81,2.16,181815627776
1786809229675429731,49073666454,38055665664,44949463040,470,14.26,5.81,2.16,181815001088
1786809231743557104,49094448235,38090670080,44949463040,471,13.92,5.88,2.20,181812060160
1786809233785145531,49116984438,38096089088,44949463040,471,13.92,5.88,2.20,181810487296
1786809235830849948,49137586679,38081687552,44949463040,471,15.61,6.36,2.38,181809049600
1786809237882706066,49159921126,38103605248,44949463040,471,15.61,6.36,2.38,181806514176
1786809239943392265,49181546736,38113615872,44949463040,471,15.61,6.36,2.38,181804728320
1786809241994669419,49203898109,38148333568,44949463040,471,16.20,6.64,2.49,181803487232
1786809244038081293,49224305280,38100348928,44949463040,471,16.20,6.64,2.49,181800960000
1786809246086627443,49246152262,38114316288,44949463040,471,16.50,6.86,2.58,181799170048
1786809248134548629,49268095370,38197895168,44949463040,471,16.50,6.86,2.58,181796438016
1786809250185262313,49289219937,38170157056,44949463040,471,16.50,6.86,2.58,181794668544
1786809252232046174,49310522392,38212354048,44949463040,470,18.14,7.36,2.77,181792378880
1786809254278959921,49332919067,38182047744,44949463040,470,18.14,7.36,2.77,181790658560
1786809256335277050,49354333881,38184615936,44949463040,470,17.41,7.39,2.80,181789175808
1786809258423988061,49377536840,38212059136,44949463040,470,17.41,7.39,2.80,181787369472
1786809260472149316,49398971490,38200492032,44949463040,470,17.41,7.39,2.80,181784920064
1786809262520704713,49420654083,38172295168,44949463040,470,18.34,7.75,2.94,181783068672
1786809264579383567,49442982524,38171598848,44949463040,470,18.34,7.75,2.94,181780774912
1786809266659936854,49465133637,38222802944,44949463040,470,18.71,8.00,3.05,181779193856
1786809268700278599,49486632340,38233280512,44949463040,470,18.71,8.00,3.05,181777039360
1786809270761115501,49508690614,38247292928,44949463040,470,17.86,8.00,3.08,181775314944
1786809272805278222,49529522526,38231855104,44949463040,470,17.86,8.00,3.08,181773295616
1786809274852620960,49551335556,38249177088,44949463040,470,17.86,8.00,3.08,181770792960
1786809276910830944,49573205285,38317957120,44949463040,470,17.31,8.05,3.12,181770436608
1786809279010431897,49596018357,38299918336,44949463040,470,17.31,8.05,3.12,181768077312
1786809281056883514,49617413468,38270500864,44949463040,470,16.88,8.12,3.17,181766774784
1786809283102630486,49640247577,38296096768,44949463040,470,16.88,8.12,3.17,181764763648
1786809285144969796,49661594820,38267121664,44949463040,470,16.88,8.12,3.17,181762297856
1786809287199410736,49684085984,38308773888,44949463040,470,16.57,8.20,3.22,181761007616
1786809289265442515,49706270984,38349991936,44949463040,471,16.57,8.20,3.22,181758619648
1786809291315203730,49728676965,38378479616,44949463040,471,16.28,8.28,3.27,181756944384
1786809293364040877,49750505674,38352166912,44949463040,471,16.28,8.28,3.27,181755535360
1786809295423676852,49772986557,38335782912,44949463040,471,16.28,8.28,3.27,181754388480
1786809297507977244,49796276075,38394712064,44949463040,471,17.46,8.66,3.42,181752025088
1786809299563993219,49817956760,38380093440,44949463040,471,17.46,8.66,3.42,181750472704
1786809301651805685,49840846524,38415446016,44949463040,471,16.95,8.69,3.46,181748494336
1786809303699936160,49862808596,38397157376,44949463040,471,16.95,8.69,3.46,181746167808
1786809305761335162,49885267082,38402371584,44949463040,471,16.79,8.80,3.53,181744492544
1786809307815739098,49907168517,38487085056,44949463040,471,16.79,8.80,3.53,181742600192
1786809309905100125,49931088391,38572617728,44949463040,471,16.79,8.80,3.53,181740576768
1786809311953946914,49953298801,38537297920,44949463040,471,16.49,8.87,3.58,181738557440
1786809313993849708,49975626232,38543429632,44949463040,471,16.49,8.87,3.58,181737295872
1786809316044778518,49998704938,38571528192,44949463040,471,16.21,8.94,3.63,181735051264
1786809318093459468,50020650617,38542049280,44949463040,471,16.21,8.94,3.63,181733429248
1786809320179454306,50043728974,38586949632,44949463040,471,16.21,8.94,3.63,181731647488
1786809322224003691,50066166052,38547292160,44949463040,471,16.03,9.02,3.68,181729574912
1786809324269741224,50087986308,38561677312,44949463040,471,16.03,9.02,3.68,181727809536
1786809326317813512,50110595022,38587158528,44949463040,471,15.71,9.07,3.73,181727543296
1786809328395679032,50132815080,38609444864,44949463040,471,15.71,9.07,3.73,181724831744
1786809330433417170,50155796556,38592630784,44949463040,471,15.71,9.07,3.73,181723279360
1786809332483790111,50177949718,38664507392,44949463040,471,15.41,9.12,3.77,181721862144
1786809334558542314,50200859712,38591676416,44949463040,470,15.41,9.12,3.77,181719810048
1786809336631830551,50223492963,38660960256,44949463040,470,15.06,9.15,3.81,181717999616
1786809338706221275,50246581842,38596521984,44949463040,470,15.06,9.15,3.81,181715947520
1786809340768301137,50268438845,38600933376,44949463040,470,14.81,9.20,3.86,181714345984
1786809342813452713,50291910810,38593155072,44949463040,470,14.81,9.20,3.86,181712482304
1786809344865402396,50313736099,38649552896,44949463040,470,14.81,9.20,3.86,181711335424
1786809346937699963,50335877163,38609854464,44949463040,470,14.51,9.23,3.90,181709246464
1786809348987014477,50356880256,38605709312,44949463040,470,14.51,9.23,3.90,181708263424
1786809351030976336,50377862383,38616424448,44949463040,470,14.06,9.23,3.92,181705687040
1786809353077524072,50399847124,38634110976,44949463040,470,14.06,9.23,3.92,181703802880
1786809355124506056,50421193717,38656688128,44949463040,470,14.06,9.23,3.92,181702459392
1786809357169021137,50441701101,38665789440,44949463040,470,13.66,9.22,3.95,181700157440
1786809359215209798,50462586716,38646939648,44949463040,470,13.66,9.22,3.95,181698510848
1786809361263998805,50485073046,38647812096,44949463040,470,15.45,9.67,4.12,181696757760
1786809363312776871,50507118100,38694744064,44949463040,470,15.45,9.67,4.12,181694414848
